name,level,parent_region,lat,lon
Bolívar,3,Alonso De Ibanez,-17.9710006713867,-66.5404968261719
Caripuyo,3,Alonso De Ibanez,-18.2348709106445,-66.4726867675781
Cotoca,3,Andrés Ibáñez,-17.7539005279541,-62.996898651123
El Torno,3,Andrés Ibáñez,-17.9923057556152,-63.3829917907715
Santa Cruz,3,Andrés Ibáñez,-17.7867736816406,-63.1898956298828
Bermejo,3,Aniceto Arce,-22.7325000762939,-64.3426971435547
Catavi,3,Antonio Quijarro,-19.6333332061768,-66.5
Huari,3,Antonio Quijarro,-19.5833320617676,-66.6666641235352
Porco,3,Antonio Quijarro,-19.8012790679932,-65.9875335693359
Calamarca,3,Aroma,-16.9080200195312,-68.1144714355469
Patacamaya,3,Aroma,-17.2332992553711,-67.9167022705078
Sica Sica,3,Aroma,-17.3346996307373,-67.7406997680664
Umala,3,Aroma,-17.3756999969482,-68.0217971801758
Arque,3,Arque,-17.8211002349854,-66.4029006958008
Tacopaya,3,Arque,-17.8166999816895,-66.5333023071289
Ayopaya,3,Ayopaya,-16.5515995025635,-66.5223999023438
Independencia,3,Ayopaya,-17.0804500579834,-66.8147583007812
Morochata,3,Ayopaya,-17.238000869751,-66.533203125
Acacio,3,Bernardino Bilbao,-18.02121925354,-66.0580368041992
Entre Ríos,3,Burnet O'Connor,-21.526388168335,-64.1733322143555
Chuma,3,Camacho,-15.3893003463745,-68.9252014160156
Escoma,3,Camacho,-15.660927772522,-69.1283187866211
Mocomoco,3,Camacho,-15.3644504547119,-68.9808197021484
Mancomunidad Caine,3,Capinota,-17.7523994445801,-66.190299987793
Sicaya,3,Capinota,-17.8057994842529,-66.3321990966797
Villa Capinota,3,Capinota,-17.7150001525879,-66.2636108398438
Huayllamarca,3,Carangas,-18.7481994628906,-67.7539978027344
Chimore,3,Carrasco,-16.991979598999,-65.1527404785156
Pocona,3,Carrasco,-17.6813106536865,-65.4208679199219
Caracollo,3,Cercado,-17.6422805786133,-67.2164306640625
Cochabamba,3,Cercado,-17.3840999603271,-66.1667022705078
El Choro,3,Cercado,-18.3568000793457,-67.1127014160156
Oruro,3,Cercado,-17.9752807617188,-67.1107635498047
Santivañez,3,Cercado,-17.3953666687012,-66.1628723144531
Tarija,3,Cercado,-21.531810760498,-64.7311630249023
Trinidad,3,Cercado,-14.8332996368408,-64.9000015258789
San Pedro,3,Charcas,-18.2688694000244,-65.9827117919922
Toro Toro,3,Charcas,-18.1366596221924,-65.7588729858398
Pailón,3,Chiquitos,-17.6585998535156,-62.7265014648438
San José de Chiquitos,3,Chiquitos,-17.840950012207,-60.7343788146973
Boyuibe,3,Cordillera,-20.429500579834,-63.2831993103027
Cabezas,3,Cordillera,-18.7922897338867,-63.3040008544922
Camiri,3,Cordillera,-20.0249996185303,-63.521598815918
Charagua,3,Cordillera,-19.7901000976562,-63.1967010498047
Lagunillas,3,Cordillera,-19.6516990661621,-63.6758003234863
Betanzos,3,Cornelio Saavedra,-19.5589599609375,-65.4454116821289
Chaqui,3,Cornelio Saavedra,-19.5841007232666,-65.5595321655273
Challapata,3,Eduardo Avaroa,-18.8999996185303,-66.7667007446289
San Agustín,3,Enrique Baldivieso,-21.1595897674561,-67.675422668457
Anzaldo,3,Esteban Arce,-17.7859992980957,-65.9336013793945
Arbieto,3,Esteban Arce,-17.5666999816895,-66.0167007446289
Tarata,3,Esteban Arce,-17.611400604248,-66.0233001708984
Cercado,3,Eustaquio Méndez,-21.4166679382324,-64.6833343505859
Iscayachi,3,Eustaquio Méndez,-21.479700088501,-64.9698028564453
Mairana,3,Florida,-18.1225891113281,-63.9592094421387
Pampa Grande,3,Florida,-18.0933208465576,-64.1166763305664
Quirusillas,3,Florida,-18.3017997741699,-63.8070983886719
Samaipata,3,Florida,-18.179443359375,-63.8755569458008
Apolo,3,Franz Tamayo,-14.7192001342773,-68.4113998413086
Pelechuco,3,Franz Tamayo,-14.8198003768921,-69.0717010498047
Sacaba,3,Germán Jordán,-17.4095001220703,-66.0404968261719
Caraparí,3,Gran Chaco,-21.8278007507324,-63.7414016723633
Villa Montes,3,Gran Chaco,-21.2608337402344,-63.4761123657227
Yacuíba,3,Gran Chaco,-22.0394439697266,-63.6816673278809
Chacarilla,3,Gualberto Villarroel,-17.5666999816895,-68.2166976928711
Curahuara,3,Gualberto Villarroel,-17.6667003631592,-68.0333023071289
Papel Pampa,3,Gualberto Villarroel,-17.6667003631592,-67.8332977294922
Ascension,3,Guarayos,-15.8968572616577,-63.1855392456055
El Puente,3,Guarayos,-16.3265590667725,-62.9176483154297
Monteagudo,3,Hernando Siles,-19.8048191070557,-63.9562797546387
San Carlos,3,Ichilo,-17.4078998565674,-63.7332992553711
San Juan,3,Ichilo,-17.2924995422363,-63.8512992858887
Villa Yapacaní,3,Ichilo,-17.4027996063232,-63.8849983215332
Okinawa,3,Ignacio Warnes,-17.2200393676758,-62.894115447998
Ixiamas,3,Iturralde,-13.7573003768921,-68.1445083618164
San Buena Ventura,3,Iturralde,-14.4581203460693,-67.5867462158203
Presto,3,Jaime Zudáñez,-18.9333324432373,-64.9333343505859
Reyes,3,Jose Ballivian,-14.2958326339722,-67.3352813720703
Rurrenabaque,3,Jose Ballivian,-14.4422216415405,-67.5283355712891
San Borja,3,Jose Ballivian,-14.8518867492676,-66.7486419677734
Catacora,3,José Manuel Pando,-17.9500007629395,-66.1500015258789
Santiago de Machaca,3,José Manuel Pando,-17.0662002563477,-69.1946029663086
Padcaya,3,José María Avilés,-21.8872222900391,-64.712776184082
Uriondo,3,José María Avilés,-21.6971206665039,-64.6556625366211
Belén de Urmiri,3,Jose Maria Linares,-19.866340637207,-65.5367279052734
Caiza D,3,Jose Maria Linares,-20.0079002380371,-65.6567993164062
Puna,3,Jose Maria Linares,-19.8014507293701,-65.498176574707
San Ignacio,3,José Miguel de Velasco,-16.3756008148193,-60.9547004699707
San Miguel,3,José Miguel de Velasco,-16.7014999389648,-60.9678001403809
San Rafael,3,José Miguel de Velasco,-16.7847995758057,-60.6759986877441
Azurduy,3,Juana Azurduy de Padilla,-19.99880027771,-64.4899978637695
Sorata,3,Larceja,-15.7733325958252,-68.6480560302734
Cuevo,3,Luis Calvo,-20.4500007629395,-63.5166664123535
Muyupampa,3,Luis Calvo,-19.8955993652344,-63.7532958984375
San Lorenzo,3,Madre De Dios,-11.8963899612427,-66.8775634765625
San Pedro,3,Madre De Dios,-11.1833333969116,-66.2333297729492
Sena,3,Madre De Dios,-11.4787311553955,-67.2520141601562
Comarapa,3,Manuel María Caballero,-17.9153003692627,-64.5316009521484
Saipina,3,Manuel María Caballero,-18.0944004058838,-64.5832977294922
Puerto Rico,3,Manuripi,-11.1033000946045,-67.5547027587891
Loreto,3,Marbán,-15.192777633667,-64.7588882446289
San Andrés,3,Marbán,-15.3333330154419,-64.3333358764648
Santa Rosa,3,Marbán,-15.6499996185303,-64.6999969482422
Villa Aroma,3,Marbán,-15.1499996185303,-64.033332824707
Palos Blancos,3,Moxos,-15.5832996368408,-67.25
San Ignacio De Moxos,3,Moxos,-14.9961004257202,-65.6399993896484
Aucapata,3,Munecas,-15.5,-68.7667007446289
Ayata,3,Munecas,-15.3407001495361,-68.7529983520508
Bella Flor,3,Nicolas Suarez,-11.1311597824097,-67.7213973999023
Cobija,3,Nicolas Suarez,-11.0208501815796,-68.763542175293
Porvenir,3,Nicolas Suarez,-11.2353000640869,-68.688102722168
Cotagaita,3,Nor Chichas,-20.8138999938965,-65.6613464355469
Vitichi,3,Nor Chichas,-20.2077503204346,-65.4957809448242
Camargo,3,Nor Cinti,-20.6402778625488,-65.2102813720703
San Lucas,3,Nor Cinti,-20.101749420166,-65.1376495361328
Colcha,3,Nor Lípez,-20.7902774810791,-67.6672210693359
Coroico,3,Nor Yungas,-16.1941776275635,-67.7288131713867
Cañada,3,Nuflo De Chavez,-17.5666999816895,-62.5332984924316
Concepción,3,Nuflo De Chavez,-16.1319007873535,-62.0261001586914
Cuatro Cañadas,3,Nuflo De Chavez,-17.2721996307373,-62.5579986572266
San Antonio de Lomerío,3,Nuflo De Chavez,-16.7690010070801,-61.8102073669434
San Javier,3,Nuflo De Chavez,-16.2770004272461,-62.5032997131348
San Julian,3,Nuflo De Chavez,-16.906400680542,-62.6169013977051
General Saavedra,3,Obispo Santistevan,-17.2287998199463,-63.217399597168
Montero,3,Obispo Santistevan,-17.3422222137451,-63.2558326721191
Calacoto,3,Pacajes,-17.2819995880127,-68.6353988647461
Caquiaviri,3,Pacajes,-17.0245990753174,-68.6087036132812
Charaña,3,Pacajes,-17.5912990570068,-69.4446029663086
Comanche,3,Pacajes,-17.0832996368408,-68.5832977294922
Coro Coro,3,Pacajes,-17.1723003387451,-68.4536972045898
Mauri,3,Pacajes,-17.4666996002197,-69.36669921875
Nazacara,3,Pacajes,-16.9375991821289,-68.7668991088867
Santiago de Callapa,3,Pacajes,-17.2359008789062,-68.3365020751953
Poopó,3,Poopo,-18.3807601928711,-66.9652862548828
Urmiri,3,Poopo,-18.5802001953125,-66.8768997192383
Chiquitos,3,Provincia de Chiquitos,-17.7467002868652,-60.7678985595703
Robore,3,Provincia de Chiquitos,-18.3389091491699,-59.7498397827148
San Ramón,3,Provincia de Chiquitos,-18.5167007446289,-59.5
Warnes,3,Provincia de Ignacio Warnes,-17.5181007385254,-63.1694984436035
