name,level,parent_region,lat,lon
Cercado,2,El Beni,-14.8332996368408,-64.9000015258789
Jose Ballivian,2,El Beni,-14.5299803415934,-67.2040863037109
Marbán,2,El Beni,-15.3315274715424,-64.4563884735107
Moxos,2,El Beni,-15.2897000312805,-66.4449996948242
Vaca Diez,2,El Beni,-11.0128002166748,-66.0571975708008
Hernando Siles,2,Chuquisaca,-19.8048191070557,-63.9562797546387
Jaime Zudáñez,2,Chuquisaca,-18.9333324432373,-64.9333343505859
Juana Azurduy de Padilla,2,Chuquisaca,-19.99880027771,-64.4899978637695
Luis Calvo,2,Chuquisaca,-20.1728000640869,-63.6349811553955
Nor Cinti,2,Chuquisaca,-20.3710136413574,-65.1739654541016
Provincia de Oropeza,2,Chuquisaca,-19.0421390533447,-65.2558822631836
Provincia de Samuel Oropeza,2,Chuquisaca,-18.4833335876465,-65.5
Provincia de Tomina,2,Chuquisaca,-19.4170219421387,-64.4196029663086
Provincia de Yamparáez,2,Chuquisaca,-19.1762599945068,-64.9166564941406
Provincia Hernando Siles,2,Chuquisaca,-20.0833320617676,-64.0833358764648
Sud Cinti,2,Chuquisaca,-20.8236694335938,-64.9454498291016
Alonso De Ibanez,2,Cochabamba,-17.9710006713867,-66.5404968261719
Arque,2,Cochabamba,-17.8189001083374,-66.4681015014648
Ayopaya,2,Cochabamba,-16.9566834767659,-66.6234537760417
Capinota,2,Cochabamba,-17.7577330271403,-66.2620366414388
Carrasco,2,Cochabamba,-17.3366451263428,-65.2868041992188
Cercado,2,Cochabamba,-17.3897333145142,-66.1647872924805
Esteban Arce,2,Cochabamba,-17.6546999613444,-65.991200764974
Germán Jordán,2,Cochabamba,-17.4095001220703,-66.0404968261719
Punata,2,Cochabamba,-17.4888000488281,-65.8232116699219
Quillacollo,2,Cochabamba,-17.3935438791911,-66.2792231241862
Tapacarí,2,Cochabamba,-17.5172996520996,-66.618896484375
Tiraque,2,Cochabamba,-16.9666996002197,-65.4167022705078
Aroma,2,La Paz,-17.212929725647,-67.9484176635742
Camacho,2,La Paz,-15.4715595245361,-69.0114466349284
Franz Tamayo,2,La Paz,-14.7695002555847,-68.7415504455566
Gualberto Villarroel,2,La Paz,-17.6333669026693,-68.0277659098307
Iturralde,2,La Paz,-14.1077103614807,-67.8656272888184
José Manuel Pando,2,La Paz,-17.5081005096436,-67.6723022460938
Larceja,2,La Paz,-15.7733325958252,-68.6480560302734
Munecas,2,La Paz,-15.4203500747681,-68.7598495483398
Nor Yungas,2,La Paz,-16.1941776275635,-67.7288131713867
Pacajes,2,La Paz,-17.2242121696472,-68.7744750976562
Carangas,2,Oruro,-18.7481994628906,-67.7539978027344
Cercado,2,Oruro,-17.9914538065592,-67.1466318766276
Eduardo Avaroa,2,Oruro,-18.8999996185303,-66.7667007446289
Poopo,2,Oruro,-18.4804801940918,-66.9210929870605
Saucari,2,Oruro,-18.1814002990723,-67.4060974121094
Sur Carangas,2,Oruro,-18.716667175293,-67.5666656494141
Madre De Dios,2,Pando,-11.5194848378499,-66.7876358032227
Manuripi,2,Pando,-11.1033000946045,-67.5547027587891
Nicolas Suarez,2,Pando,-11.1291033426921,-68.3910140991211
Alonso De Ibanez,2,Potosí,-18.2348709106445,-66.4726867675781
Antonio Quijarro,2,Potosí,-19.6726481119792,-66.3847325642904
Bernardino Bilbao,2,Potosí,-18.02121925354,-66.0580368041992
Charcas,2,Potosí,-18.2027645111084,-65.870792388916
Cornelio Saavedra,2,Potosí,-19.5715303421021,-65.5024719238281
Enrique Baldivieso,2,Potosí,-21.1595897674561,-67.675422668457
Jose Maria Linares,2,Potosí,-19.8918972015381,-65.5639012654622
Nor Chichas,2,Potosí,-20.5108251571655,-65.5785636901855
Nor Lípez,2,Potosí,-20.7902774810791,-67.6672210693359
Rafael Bustillo,2,Potosí,-18.4458656311035,-66.5733337402344
Sud Chichas,2,Potosí,-21.186107635498,-65.9809265136719
Sur Lípez,2,Potosí,-21.7190847396851,-66.4585609436035
Tomas Frias,2,Potosí,-19.5829696655273,-65.7560806274414
Andrés Ibáñez,2,Santa Cruz,-17.84432665507,-63.1899286905924
Chiquitos,2,Santa Cruz,-17.7497749328613,-61.7304401397705
Cordillera,2,Santa Cruz,-19.7377178192139,-63.3962600708008
Florida,2,Santa Cruz,-18.1742882728577,-63.9396352767944
Guarayos,2,Santa Cruz,-16.1117081642151,-63.0515937805176
Ichilo,2,Santa Cruz,-17.367733001709,-63.8231989542643
Ignacio Warnes,2,Santa Cruz,-17.2200393676758,-62.894115447998
José Miguel de Velasco,2,Santa Cruz,-16.6206334431966,-60.8661664326986
Manuel María Caballero,2,Santa Cruz,-18.0048503875732,-64.5574493408203
Nuflo De Chavez,2,Santa Cruz,-16.8205337524414,-62.3413009643555
Obispo Santistevan,2,Santa Cruz,-17.2855110168457,-63.2366161346436
Provincia de Chiquitos,2,Santa Cruz,-18.2007700602214,-60.0059127807617
Provincia de Ignacio Warnes,2,Santa Cruz,-17.5181007385254,-63.1694984436035
Vallegrande,2,Santa Cruz,-18.4698534011841,-64.1920299530029
Aniceto Arce,2,Tarija,-22.7325000762939,-64.3426971435547
Burnet O'Connor,2,Tarija,-21.526388168335,-64.1733322143555
Cercado,2,Tarija,-21.531810760498,-64.7311630249023
Eustaquio Méndez,2,Tarija,-21.4481840133667,-64.8265686035156
Gran Chaco,2,Tarija,-21.7093594868978,-63.6330604553223
José María Avilés,2,Tarija,-21.7921714782715,-64.6842193603516
Guayamerín,2,El Beni,-14.3782997131348,-65.0958023071289
Chuquisaca,2,Chuquisaca,-20.0249137878418,-64.1478271484375
Huacareca,2,Chuquisaca,-20.0249137878418,-64.1478271484375
Macharetí,2,Chuquisaca,-20.8166999816895,-63.4000015258789
Tarvita,2,Chuquisaca,-19.8333339691162,-64.533332824707
Villa Vaca Guzmán,2,Chuquisaca,-19.8955993652344,-63.753101348877
Batallas,2,La Paz,-16.2999992370605,-68.5333023071289
Charazani,2,La Paz,-15.1943998336792,-69.0046005249023
Chulumani,2,La Paz,-16.4089164733887,-67.5276412963867
Curva,2,La Paz,-15.1368999481201,-69.0530014038086
El Alto,2,La Paz,-16.5166664123535,-68.1666641235352
Inquisivi,2,La Paz,-16.9199199676514,-67.1736068725586
Irupana Municipality,2,La Paz,-16.4829006195068,-67.4580993652344
Jesús de Machaca,2,La Paz,-16.7472305297852,-68.8090515136719
La Paz,2,La Paz,-16.4990100860596,-68.1462478637695
Licoma,2,La Paz,-16.4990100860596,-68.1462478637695
Llallagua,2,La Paz,-16.86669921875,-68.6999969482422
Mecapaca,2,La Paz,-16.4990100860596,-68.1462478637695
Pucarani,2,La Paz,-16.4053401947021,-68.4776763916016
Quime,2,La Paz,-16.9817008972168,-67.2166976928711
San Andres de Machaca,2,La Paz,-16.9559993743896,-68.9684066772461
Saphaqui,2,La Paz,-16.8957996368408,-67.9511032104492
Viacha,2,La Paz,-16.6531295776367,-68.3014068603516
Tacobamba,2,Potosí,-19.1833000183105,-65.5500030517578
Gutiérrez,2,Santa Cruz,-19.4104099273682,-63.5344581604004
Bolívar,3,Alonso De Ibanez,-17.9710006713867,-66.5404968261719
Caripuyo,3,Alonso De Ibanez,-18.2348709106445,-66.4726867675781
Cotoca,3,Andrés Ibáñez,-17.7539005279541,-62.996898651123
El Torno,3,Andrés Ibáñez,-17.9923057556152,-63.3829917907715
Santa Cruz,3,Andrés Ibáñez,-17.7867736816406,-63.1898956298828
Bermejo,3,Aniceto Arce,-22.7325000762939,-64.3426971435547
Catavi,3,Antonio Quijarro,-19.6333332061768,-66.5
Huari,3,Antonio Quijarro,-19.5833320617676,-66.6666641235352
Porco,3,Antonio Quijarro,-19.8012790679932,-65.9875335693359
Calamarca,3,Aroma,-16.9080200195312,-68.1144714355469
Patacamaya,3,Aroma,-17.2332992553711,-67.9167022705078
Sica Sica,3,Aroma,-17.3346996307373,-67.7406997680664
Umala,3,Aroma,-17.3756999969482,-68.0217971801758
Arque,3,Arque,-17.8211002349854,-66.4029006958008
Tacopaya,3,Arque,-17.8166999816895,-66.5333023071289
Ayopaya,3,Ayopaya,-16.5515995025635,-66.5223999023438
Independencia,3,Ayopaya,-17.0804500579834,-66.8147583007812
Morochata,3,Ayopaya,-17.238000869751,-66.533203125
Acacio,3,Bernardino Bilbao,-18.02121925354,-66.0580368041992
Entre Ríos,3,Burnet O'Connor,-21.526388168335,-64.1733322143555
Chuma,3,Camacho,-15.3893003463745,-68.9252014160156
Escoma,3,Camacho,-15.660927772522,-69.1283187866211
Mocomoco,3,Camacho,-15.3644504547119,-68.9808197021484
Mancomunidad Caine,3,Capinota,-17.7523994445801,-66.190299987793
Sicaya,3,Capinota,-17.8057994842529,-66.3321990966797
Villa Capinota,3,Capinota,-17.7150001525879,-66.2636108398438
Huayllamarca,3,Carangas,-18.7481994628906,-67.7539978027344
Chimore,3,Carrasco,-16.991979598999,-65.1527404785156
Pocona,3,Carrasco,-17.6813106536865,-65.4208679199219
Caracollo,3,Cercado,-17.6422805786133,-67.2164306640625
Cochabamba,3,Cercado,-17.3840999603271,-66.1667022705078
El Choro,3,Cercado,-18.3568000793457,-67.1127014160156
Oruro,3,Cercado,-17.9752807617188,-67.1107635498047
Santivañez,3,Cercado,-17.3953666687012,-66.1628723144531
Tarija,3,Cercado,-21.531810760498,-64.7311630249023
Trinidad,3,Cercado,-14.8332996368408,-64.9000015258789
San Pedro,3,Charcas,-18.2688694000244,-65.9827117919922
Toro Toro,3,Charcas,-18.1366596221924,-65.7588729858398
Pailón,3,Chiquitos,-17.6585998535156,-62.7265014648438
San José de Chiquitos,3,Chiquitos,-17.840950012207,-60.7343788146973
Boyuibe,3,Cordillera,-20.429500579834,-63.2831993103027
Cabezas,3,Cordillera,-18.7922897338867,-63.3040008544922
Camiri,3,Cordillera,-20.0249996185303,-63.521598815918
Charagua,3,Cordillera,-19.7901000976562,-63.1967010498047
Lagunillas,3,Cordillera,-19.6516990661621,-63.6758003234863
Betanzos,3,Cornelio Saavedra,-19.5589599609375,-65.4454116821289
Chaqui,3,Cornelio Saavedra,-19.5841007232666,-65.5595321655273
Challapata,3,Eduardo Avaroa,-18.8999996185303,-66.7667007446289
San Agustín,3,Enrique Baldivieso,-21.1595897674561,-67.675422668457
Anzaldo,3,Esteban Arce,-17.7859992980957,-65.9336013793945
Arbieto,3,Esteban Arce,-17.5666999816895,-66.0167007446289
Tarata,3,Esteban Arce,-17.611400604248,-66.0233001708984
Cercado,3,Eustaquio Méndez,-21.4166679382324,-64.6833343505859
Iscayachi,3,Eustaquio Méndez,-21.479700088501,-64.9698028564453
Mairana,3,Florida,-18.1225891113281,-63.9592094421387
Pampa Grande,3,Florida,-18.0933208465576,-64.1166763305664
Quirusillas,3,Florida,-18.3017997741699,-63.8070983886719
Samaipata,3,Florida,-18.179443359375,-63.8755569458008
Apolo,3,Franz Tamayo,-14.7192001342773,-68.4113998413086
Pelechuco,3,Franz Tamayo,-14.8198003768921,-69.0717010498047
Sacaba,3,Germán Jordán,-17.4095001220703,-66.0404968261719
Caraparí,3,Gran Chaco,-21.8278007507324,-63.7414016723633
Villa Montes,3,Gran Chaco,-21.2608337402344,-63.4761123657227
Yacuíba,3,Gran Chaco,-22.0394439697266,-63.6816673278809
Chacarilla,3,Gualberto Villarroel,-17.5666999816895,-68.2166976928711
Curahuara,3,Gualberto Villarroel,-17.6667003631592,-68.0333023071289
Papel Pampa,3,Gualberto Villarroel,-17.6667003631592,-67.8332977294922
Ascension,3,Guarayos,-15.8968572616577,-63.1855392456055
El Puente,3,Guarayos,-16.3265590667725,-62.9176483154297
Monteagudo,3,Hernando Siles,-19.8048191070557,-63.9562797546387
San Carlos,3,Ichilo,-17.4078998565674,-63.7332992553711
San Juan,3,Ichilo,-17.2924995422363,-63.8512992858887
Villa Yapacaní,3,Ichilo,-17.4027996063232,-63.8849983215332
Okinawa,3,Ignacio Warnes,-17.2200393676758,-62.894115447998
